dataset,f1,method,param_candidate_count,param_check_layer,param_full_recompute_layer_count,param_oracle_receiver_full_kv,param_profiling_f1,param_profiling_latency_s,param_recompute_layer_count,param_recompute_layers,param_recompute_work_ratio,param_reference_mode,param_selected_count,param_selected_fraction,param_token_recompute_ratio,prefill_latency_s_mean,prefill_latency_s_p50,prefill_latency_s_p95,samples
hotpotqa_50,0.8003809523809522,receiver_full,,,,True,,,,,,,,,,0.05125919481739402,0.04081277083605528,0.08708938951604067,50
hotpotqa_50,0.07471428571428572,full_kv_reuse,,,,False,,,,,,,,,,0.024603309780359267,0.024583876598626375,0.025792577350512144,50
hotpotqa_50,0.2919267399267399,droidspeak_layers_12_13,,,,False,0.26541290429662523,0.03524902787990868,2,"[12, 13]",,,,,,0.028779027126729487,0.027808455284684896,0.029397992230951783,50
hotpotqa_50,0.48158851674641157,droidspeak_layers_14_17,,,,False,0.4551417082357732,0.03771725999191403,4,"[14, 17]",,,,,,0.029861564431339502,0.029303761199116707,0.03216113639064133,50
hotpotqa_50,0.6387965367965369,droidspeak_layers_12_17,,,,False,0.6182039072039074,0.04011740500107407,6,"[12, 17]",,,,,,0.03209968848153949,0.030971635598689318,0.03530538775958121,50
hotpotqa_50,0.6608571428571429,droidspeak_layers_12_19,,,,False,0.6537586273375748,0.04258337010629475,8,"[12, 19]",,,,,,0.03449742710217833,0.03321111109107733,0.03991030966863036,50
hotpotqa_50,0.7536776556776558,droidspeak_layers_10_19,,,,False,0.7423838319202261,0.04520713660866022,10,"[10, 19]",,,,,,0.036900606881827114,0.03494945587590337,0.04398141186684369,50
hotpotqa_50,0.7557142857142857,droidspeak_layers_10_21,,,,False,0.7454436090225565,0.04771264833398163,12,"[10, 21]",,,,,,0.03919121194630861,0.03643319057300687,0.0477338328026235,50
hotpotqa_50,0.7727619047619048,droidspeak_layers_08_21,,,,False,0.7688658008658008,0.05013351809233427,14,"[8, 21]",,,,,,0.04178331770002842,0.03830620413646102,0.05169224212877452,50
hotpotqa_50,0.7937142857142857,droidspeak_layers_10_25,,,,False,0.7937142857142857,0.052673409590497614,16,"[10, 25]",,,,,,0.04429455455392599,0.04059969633817673,0.056287795072421425,50
hotpotqa_50,0.787047619047619,droidspeak_layers_10_27,,,,False,0.787047619047619,0.05546192667447031,18,"[10, 27]",,,,,,0.046866223122924565,0.042238975409418344,0.06069867913611232,50
hotpotqa_50,0.7937142857142857,droidspeak_layers_06_25,,,,False,0.7937142857142857,0.05806478277780116,20,"[6, 25]",,,,,,0.04975760636851192,0.044318429194390774,0.06685173078440128,50
hotpotqa_50,0.7950476190476191,droidspeak_layers_10_31,,,,False,0.7950476190476191,0.06418129810132087,22,"[10, 31]",,,,,,0.05261544542387128,0.04688931442797184,0.0715589387807995,50
hotpotqa_50,0.8003809523809522,droidspeak_layers_02_25,,,,False,0.8003809523809522,0.06354750830680132,24,"[2, 25]",,,,,,0.055397485122084617,0.04894740879535675,0.07711232136934995,50
hotpotqa_50,0.8003809523809524,droidspeak_layers_06_31,,,,False,0.8003809523809524,0.06614669017493725,26,"[6, 31]",,,,,,0.0581470524892211,0.051482160575687885,0.08201186917722224,50
hotpotqa_50,0.8203809523809524,droidspeak_layers_04_31,,,,False,0.8203809523809524,0.07233870760537683,28,"[4, 31]",,,,,,0.060830375235527756,0.053338566329330206,0.08710881266742942,50
hotpotqa_50,0.8270476190476189,droidspeak_layers_02_31,,,,False,0.8270476190476189,0.07243136474862695,30,"[2, 31]",,,,,,0.06418419931083917,0.055056286975741386,0.09291864363476633,50
hotpotqa_50,0.8003809523809522,droidspeak_layers_00_31,,,,False,0.8003809523809522,0.07048296926543117,32,"[0, 31]",,,,,,0.0640684592910111,0.05475100176408887,0.09578510397113858,50
hotpotqa_50,0.07871428571428571,token_only_ratio_0p100,177,0,1,False,,,,"[0, 0]",0.128125,False,17,0.096045197740113,0.1,0.056386570688337086,0.055031394585967064,0.05695122363977134,50
